Organization,Address,Region,Phone,Website,Location Rank
Lakeshore-Irvine,"18007 Von Karman Ave., Irvine, California 92612",,949-739-6300,https://www.lifetime.life/locations/ca/lakeshore-irvine.html,Preferred Target
Otay Ranch,"1650 Main Street West, Chula Vista, CA 91913",,,https://www.lifetime.life/locations/ca/otay-ranch.html,Preferred Target
Rancho San Clemente,"111 Avenida Vista Montana, San Clemente, California 92672",,949-392-7100,https://www.lifetime.life/locations/ca/rancho-san-clemente.html,Preferred Target
Roseville,"1435 E Roseville Pkwy, Roseville, California 95661",,916-472-2000,https://www.lifetime.life/locations/ca/roseville.html,Preferred Target
Walnut Creek,"1315 Broadway Plaza, Walnut Creek, California 94596",,925-951-4900,https://www.lifetime.life/locations/ca/walnut-creek.html,Preferred Target
Boulder,"1821 30th Street, Boulder, CO 80301",,,https://www.lifetime.life/locations/co/boulder.html,Preferred Target
Centennial,"5000 E Dry Creek Rd, Centennial, Colorado 80122",,720-489-1400,https://www.lifetime.life/locations/co/centennial.html,Preferred Target
Centennial Tennis,"5100 E Dry Creek Rd, Centennial, Colorado 80122",,720-489-1400,https://www.lifetime.life/locations/co/centennial-tennis.html,Preferred Target
Cherry Creek,"500 S. Cherry St, Denver, Colorado 80246",,855-430-5433,https://www.lifetime.life/locations/co/cherry-creek.html,Preferred Target
Colorado Springs,"4410 Royal Pine Dr, Colorado Springs, Colorado 80920",,719-266-9900,https://www.lifetime.life/locations/co/colorado-springs.html,Preferred Target
Denver West,"3501 Clear Creek Drive, Wheat Ridge, Colorado 80401",,303-357-7900,https://www.lifetime.life/locations/co/denver-west.html,Preferred Target
Flatirons,"300 Summit Blvd, Broomfield, Colorado 80021",,720-531-8000,https://www.lifetime.life/locations/co/flatirons.html,Preferred Target
Parker-Aurora,"9250 Crown Crest Blvd, Parker, Colorado 80138",,720-842-0800,https://www.lifetime.life/locations/co/parker-aurora.html,Preferred Target
Westminster,"397 W 148th Ave, Westminster, Colorado 80023",,303-429-8000,https://www.lifetime.life/locations/co/westminster.html,Preferred Target
Life Time Living Stamford,"130 Tresser Boulevard, Stamford, CT 06901",,,https://living.lifetime.life/locations/ct-stamford.html,Preferred Target
Stamford Downtown,"130 Tresser Blvd, Stamford, Connecticut 06901",,203-705-2500,https://www.lifetime.life/locations/ct/stamford.html,Preferred Target
Boca Raton,"1499 Yamato Road, Boca Raton, Florida 33431",,561-208-5900,https://www.lifetime.life/locations/fl/boca-raton.html,Preferred Target
Coral Gables,"237 S Dixie Hwy, Coral Gables, Florida 33133",,786-437-4400,https://www.lifetime.life/locations/fl/coral-gables.html,Preferred Target
Harbour Island,"900 S Harbour Island Blvd, Tampa, Florida 33602",,813-437-8200,https://www.lifetime.life/locations/fl/harbour-island.html,Preferred Target
Life Time Living Coral Gables,"227 South Dixie Hwy, Coral Gables, FL 33133",,,https://living.lifetime.life/locations/fl-coral-gables.html,Preferred Target
Life Time Work Coral Gables,"237 South Dixie Highway, Coral Gables, FL 33133",,,https://work.lifetime.life/locations/fl-coral-gables.html,Preferred Target
Miami at The Falls,"8778 SW 136th Street, Miami, Florida 33176",,786-977-6100,https://www.lifetime.life/locations/fl/miami.html,Preferred Target
Palm Beach Gardens,"11825 Lake Victoria Gardens Ave, Palm Beach Gardens, Florida 33410",,561-352-2700,https://www.lifetime.life/locations/fl/palm-beach-gardens.html,Preferred Target
West Boca,"9698 Glades Road, Boca Raton, FL 33434",,,https://www.lifetime.life/locations/fl/west-boca.html,Preferred Target
Winter Park,"1225 Bennett Avenue, Winter Park, FL 32789",,,https://www.lifetime.life/locations/fl/winter-park.html,Preferred Target
Alpharetta,"855 North Point Pkwy, Alpharetta, Georgia 30005",,770-664-9696,https://www.lifetime.life/locations/ga/alpharetta.html,Preferred Target
Buckhead at Phipps Plaza,"3470 Peachtree Rd, Atlanta, Georgia 30326",,404-965-7500,https://www.lifetime.life/locations/ga/buckhead.html,Preferred Target
Johns Creek,"11555 Johns Creek Pkwy, Johns Creek, Georgia 30097",,770-495-7800,https://www.lifetime.life/locations/ga/johns-creek.html,Preferred Target
Life Time Work Buckhead at Phipps Plaza,"3480 Peachtree Rd NE, Atlanta, GA 30326",,,https://work.lifetime.life/locations/ga-buckhead.html,Preferred Target
Life Time Work Sandy Springs,"5600 Roswell Road Building C, Sandy Springs, GA 30342",,,https://work.lifetime.life/locations/ga-sandy-springs.html,Preferred Target
North Druid Hills,"1515 Sheridan Rd NE, Atlanta, Georgia 30324",,404-682-6150,https://www.lifetime.life/locations/ga/north-druid-hills.html,Preferred Target
Peachtree Corners,"6350 Courtside Dr NW, Peachtree Corners, Georgia 30092",,770-449-6060,https://www.lifetime.life/locations/ga/peachtree-corners.html,Preferred Target
Perimeter,"8 Concourse Pkwy, Atlanta, GA 30328",,,https://www.lifetime.life/locations/ga/perimeter.html,Preferred Target
Sandy Springs,"5600 Roswell Road Building I, Sandy Springs, Georgia 30342",,404-257-0900,https://www.lifetime.life/locations/ga/sandy-springs.html,Preferred Target
Sugarloaf,"1823 N Brown Rd, Lawrenceville, Georgia 30043",,678-226-2099,https://www.lifetime.life/locations/ga/sugarloaf.html,Preferred Target
Woodstock,"14200 Hwy 92, Woodstock, Georgia 30188",,770-926-7544,https://www.lifetime.life/locations/ga/woodstock.html,Preferred Target
Eagle,"1650 Riverside Drive, Eagle, ID 83616",,,https://www.lifetime.life/locations/id/eagle.html,Preferred Target
Algonquin,"451 Rolls Rd, Algonquin, Illinois 60102",,847-458-6200,https://www.lifetime.life/locations/il/algonquin.html,Preferred Target
Bloomingdale,"455 Scott Dr, Bloomingdale, Illinois 60108",,630-582-4100,https://www.lifetime.life/locations/il/bloomingdale.html,Preferred Target
Burr Ridge,"601 Burr Ridge Pkwy, Burr Ridge, Illinois 60527",,630-230-0011,https://www.lifetime.life/locations/il/burr-ridge.html,Preferred Target
Evanston,"1618 Sherman Ave, Evanston, IL 60201",,855-430-5433,https://www.lifetime.life/locations/il/evanston.html,Preferred Target
Lake Zurich,"400 North Rand Road, Lake Zurich, Illinois 60047",,847-719-9200,https://www.lifetime.life/locations/il/lake-zurich.html,Preferred Target
Life Time Work River North,"750 N. State Street, Floors 6 & 7, Chicago, IL 60654",,,https://work.lifetime.life/locations/il-river-north-at-one-chicago.html,Preferred Target
Northbrook,"1100 Skokie Blvd, Northbrook, Illinois 60062",,847-780-5100,https://www.lifetime.life/locations/il/northbrook.html,Preferred Target
Oakbrook,"2000 Oakbrook Center, Oak Brook, Illinois 60523",,630-203-5400,https://www.lifetime.life/locations/il/oakbrook.html,Preferred Target
Old Orchard,"5330 Old Orchard Rd, Skokie, Illinois 60077",,847-470-8600,https://www.lifetime.life/locations/il/old-orchard.html,Preferred Target
Orland Park,"16333 S La Grange Rd, Orland Park, Illinois 60467",,708-364-0300,https://www.lifetime.life/locations/il/orland-park.html,Preferred Target
River North at One Chicago,"15 W Chicago Ave, Chicago, Illinois 60654",,872-345-8500,https://www.lifetime.life/locations/il/river-north-one-chicago.html,Preferred Target
Romeoville,"1220 Lakeview Dr, Romeoville, Illinois 60446",,630-759-9995,https://www.lifetime.life/locations/il/romeoville.html,Preferred Target
Schaumburg,"900 E Higgins Rd, Schaumburg, Illinois 60173",,847-517-7171,https://www.lifetime.life/locations/il/schaumburg.html,Preferred Target
Vernon Hills,"680 Woodlands Pkwy, Vernon Hills, Illinois 60061",,847-995-0670,https://www.lifetime.life/locations/il/vernon-hills.html,Preferred Target
Warrenville,"28141 Diehl Rd, Warrenville, Illinois 60555",,630-393-2600,https://www.lifetime.life/locations/il/warrenville.html,Preferred Target
Castle Creek,"8705 Castle Creek Parkway East Dr, Indianapolis, Indiana 46250",,317-595-9700,https://www.lifetime.life/locations/in/castle-creek.html,Preferred Target
Fishers,"11691 Fishers Corner Blvd, Fishers, Indiana 46038",,317-579-9555,https://www.lifetime.life/locations/in/fishers.html,Preferred Target
Des Moines,"11911 Hickman Rd, Urbandale, Iowa 50323",,515-362-3500,https://www.lifetime.life/locations/ia/des-moines.html,Preferred Target
Lenexa,"16851 W 90th St, Lenexa, Kansas 66219",,913-888-2211,https://www.lifetime.life/locations/ks/lenexa.html,Preferred Target
Overland Park,"6800 W 138th St, Overland Park, Kansas 66223",,913-239-9000,https://www.lifetime.life/locations/ks/overland-park.html,Preferred Target
Annapolis,"200 Harker Place, Annapolis, Maryland 21401",,410-919-4100,https://www.lifetime.life/locations/md/annapolis.html,Preferred Target
Columbia,"7220 Lee Deforest Dr, Columbia, Maryland 21046",,410-953-0022,https://www.lifetime.life/locations/md/columbia.html,Preferred Target
Gaithersburg,"10121 Washingtonian Blvd, Gaithersburg, Maryland 20878",,301-569-5100,https://www.lifetime.life/locations/md/gaithersburg.html,Preferred Target
Potomac,"1151 Seven Locks Rd, Rockville, Maryland 20854",,240-314-7022,https://www.lifetime.life/locations/md/potomac.html,Preferred Target
Burlington,"186 Middlesex Tpke, Burlington, Massachusetts 01803",,855-430-5433,https://www.lifetime.life/locations/ma/burlington.html,Preferred Target
Chestnut Hill,"300 Boylston St., Newton, Massachusetts 02467",,781-797-2000,https://www.lifetime.life/locations/ma/chestnut-hill.html,Preferred Target
Life Time Living Burlington,"20 Fourth Avenue, Burlington, MA 01803",,844-336-0878,https://living-burlington.lifetime.life/,Preferred Target
Life Time Work Chestnut Hill,"300 Boylston St., Newton, MA 02467",,,https://work.lifetime.life/locations/ma-chestnut-hill.html,Preferred Target
Medford at Station Landing,"70 Station Landing, Medford, Massachusetts 02155",,781-658-9900,https://www.lifetime.life/locations/ma/medford.html,Preferred Target
MetroWest-Boston,"490 Old Connecticut Path, Framingham, Massachusetts 01701",,774-777-2100,https://www.lifetime.life/locations/ma/metrowest-boston.html,Preferred Target
Northshore,"210 Andover Street, Suite #LL11, Peabody, Massachusetts 01960",,978-817-3700,https://www.lifetime.life/locations/ma/northshore.html,Preferred Target
Prudential Center,"800 Boylston Street Space 179, Boston, MA 02199",,,https://www.lifetime.life/locations/ma/prudential-center.html,Preferred Target
Westwood,"44 Harvard St, Westwood, Massachusetts 02090",,781-381-7100,https://www.lifetime.life/locations/ma/westwood.html,Preferred Target
Bloomfield Township,"4106 Telegraph Rd, Bloomfield Hills, Michigan 48302",,248-282-4300,https://www.lifetime.life/locations/mi/bloomfield-township.html,Preferred Target
Canton Township,"1700 N Haggerty Rd, Canton, Michigan 48187",,734-394-2800,https://www.lifetime.life/locations/mi/canton-township.html,Preferred Target
Commerce Township,"2901 Commerce Crossing, Commerce Township, Michigan 48390",,248-960-0955,https://www.lifetime.life/locations/mi/commerce-township.html,Preferred Target
Novi,"40000 High Pointe Blvd, Novi, Michigan 48375",,248-735-0100,https://www.lifetime.life/locations/mi/novi.html,Preferred Target
Rochester Hills,"200 W Avon Rd, Rochester Hills, Michigan 48307",,248-601-9400,https://www.lifetime.life/locations/mi/rochester-hills.html,Preferred Target
Shelby Township,"14843 Lakeside Blvd N, Shelby Township, Michigan 48315",,586-532-1300,https://www.lifetime.life/locations/mi/shelby-township.html,Preferred Target
Troy,"4700 Investment Dr, Troy, Michigan 48098",,248-267-1000,https://www.lifetime.life/locations/mi/troy.html,Preferred Target
Apple Valley,"5995 149th St W, Apple Valley, Minnesota 55124",,952-431-9000,https://www.lifetime.life/locations/mn/apple-valley.html,Preferred Target
Bloomington North,"5250 W 84th St, Bloomington, Minnesota 55437",,952-835-2222,https://www.lifetime.life/locations/mn/bloomington-north.html,Preferred Target
Bloomington South,"1001 W 98th St, Bloomington, Minnesota 55431",,952-830-7900,https://www.lifetime.life/locations/mn/bloomington-south.html,Preferred Target
Champlin,"11989 Champlin Dr, Champlin, Minnesota 55316",,763-576-3000,https://www.lifetime.life/locations/mn/champlin.html,Preferred Target
Chanhassen,"2901 Corporate Pl, Chanhassen, Minnesota 55317",,952-380-0303,https://www.lifetime.life/locations/mn/chanhassen.html,Preferred Target
Chanhassen Pickleball Complex,"2970 Water Tower Place, Chanhassen, Minnesota 55317",,952-380-4346,https://www.lifetime.life/locations/mn/chanhassen-pickleball.html,Preferred Target
Coon Rapids,"2100 Northdale Blvd NW, Coon Rapids, Minnesota 55433",,763-767-9000,https://www.lifetime.life/locations/mn/coon-rapids.html,Preferred Target
Crosstown (Eden Prairie),"6233 Baker Rd, Eden Prairie, Minnesota 55346",,952-943-4600,https://www.lifetime.life/locations/mn/crosstown-eden-prairie.html,Preferred Target
Digital Club,n/a,,n/a,https://www.lifetime.life/digital-app.html,Preferred Target
Eagan,"1565 Thomas Center Dr, Eagan, Minnesota 55122",,651-688-3000,https://www.lifetime.life/locations/mn/eagan.html,Preferred Target
Eden Prairie Athletic,"755 Prairie Center Dr, Eden Prairie, Minnesota 55344",,952-829-8400,https://www.lifetime.life/locations/mn/eden-prairie-athletic.html,Preferred Target
Edina at Southdale,"250 Southdale Center, Edina, Minnesota 55435",,952-257-7100,https://www.lifetime.life/locations/mn/southdale.html,Preferred Target
Fridley,"1200 Moore Lake Dr E, Fridley, Minnesota 55432",,763-656-1500,https://www.lifetime.life/locations/mn/fridley.html,Preferred Target
Highland Park,"2145 Ford Pkwy, Saint Paul, Minnesota 55116",,651-698-5000,https://www.lifetime.life/locations/mn/st-paul-highland-park.html,Preferred Target
Lakeville,"18425 Dodd Blvd, Lakeville, Minnesota 55044",,952-985-8800,https://www.lifetime.life/locations/mn/lakeville.html,Preferred Target
Life Time Swim Maple Grove,"8001 Forestview Lane North, Maple Grove, MN 55369",,,https://swim.lifetime.life/index.html,Preferred Target
Life Time Work Downtown Minneapolis,"30 South 9th Street, 7th Floor, Minneapolis, MN 55402",,612-230-0355,https://work.lifetime.life/locations/mn-minneapolis.html,Preferred Target
Life Time Work Edina at Southdale,"200 Southdale Center, Edina, MN 55435",,952-257-7190,https://work.lifetime.life/locations/mn-edina-southdale.html,Preferred Target
Life Time Work West End - St. Louis Park,"1600 West End Tower, Utica Ave South, St. Louis Park, MN 55416",,952-358-6360,https://work.lifetime.life/locations/mn-st-louis-park-west-end.html,Preferred Target
Maple Grove,"12601 82nd Ave N, Maple Grove, Minnesota 55369",,763-420-8282,https://www.lifetime.life/locations/mn/maple-grove.html,Preferred Target
Minnetonka,"3310 County Road 101 S, Minnetonka, Minnesota 55391",,952-476-1717,https://www.lifetime.life/locations/mn/minnetonka.html,Preferred Target
New Hope,"4239 Winnetka Ave N, New Hope, Minnesota 55428",,763-971-0404,https://www.lifetime.life/locations/mn/new-hope.html,Preferred Target
Oakdale Village Tennis,"1201 Ford Rd, Minnetonka, Minnesota 55305",,952-593-3900,https://www.lifetime.life/locations/mn/oakdale-village-tennis.html,Preferred Target
Plymouth,"3600 Plymouth Blvd, Plymouth, Minnesota 55446",,763-509-0909,https://www.lifetime.life/locations/mn/plymouth.html,Preferred Target
Rosemount,"14290 Akron Avenue, Rosemount, Minnesota 55068",,651-855-6500,https://www.lifetime.life/locations/mn/rosemount.html,Preferred Target
Savage,"6544 Loftus Ln W, Savage, Minnesota 55378",,952-226-1222,https://www.lifetime.life/locations/mn/savage.html,Preferred Target
St. Louis Park,"5525 Cedar Lake Rd S, St Louis Park, Minnesota 55416",,952-546-5474,https://www.lifetime.life/locations/mn/st-louis-park.html,Preferred Target
Target Center (Minneapolis),"600 1st Ave N, Minneapolis, Minnesota 55403",,612-486-3600,https://www.lifetime.life/locations/mn/minneapolis-target-center.html,Preferred Target
White Bear Lake,"4800 White Bear Pkwy, White Bear Lake, Minnesota 55110",,651-426-1308,https://www.lifetime.life/locations/mn/white-bear-lake.html,Preferred Target
Woodbury,"675 Commons Dr, Woodbury, Minnesota 55125",,651-730-6000,https://www.lifetime.life/locations/mn/woodbury.html,Preferred Target
Creve Coeur,"12691 Conway Road, Creve Coeur, MO 63141",,,https://www.lifetime.life/locations/mo/creve-coeur.html,Preferred Target
Frontenac,"2051 South Lindbergh Blvd, Frontenac, Missouri 63131",,314-888-0806,https://www.lifetime.life/locations/mo/frontenac.html,Preferred Target
West County-Chesterfield,"3058 Clarkson Rd, Ellisville, Missouri 63017",,636-227-0200,https://www.lifetime.life/locations/mo/west-county-chesterfield.html,Preferred Target
Omaha,"17007 Elm Plaza, Omaha, Nebraska 68130",,402-334-3000,https://www.lifetime.life/locations/ne/omaha.html,Preferred Target
Durango,"8555 West Sunset Road, Las Vegas, NV 89113",,,https://www.lifetime.life/locations/nv/durango.html,Preferred Target
Green Valley,"121 Carnegie St, Henderson, Nevada 89052",,702-802-7300,https://www.lifetime.life/locations/nv/henderson-green-valley.html,Preferred Target
Life Time Living Green Valley (Henderson),"2460 E Serene Ave, Henderson, NV 89074",,,https://living.lifetime.life/locations/nv-green-valley.html,Preferred Target
Summerlin,"10721 W Charleston Blvd, Las Vegas, Nevada 89135",,702-228-2611,https://www.lifetime.life/locations/nv/summerlin.html,Preferred Target
Bergen County,"10 Van Riper Rd, Montvale, New Jersey 07645",,201-746-4700,https://www.lifetime.life/locations/nj/bergen-county.html,Preferred Target
Berkeley Heights,"25 Connell Dr, Berkeley Heights, New Jersey 07922",,908-665-5911,https://www.lifetime.life/locations/nj/berkeley-heights.html,Preferred Target
Bridgewater,"145 Commons Way, Bridgewater, New Jersey 08807",,908-800-5100,https://www.lifetime.life/locations/nj/bridgewater.html,Preferred Target
Florham Park,"14 Fernwood Rd, Florham Park, New Jersey 07932",,908-598-1212,https://www.lifetime.life/locations/nj/florham-park.html,Preferred Target
Life Time Studio at The Shops at Riverside,"390 Hackensack Avenue, Lower Level, Suite #010, Hackensack, New Jersey 07601",,551-287-3400,https://www.lifetime.life/locations/nj/riverside.html,Preferred Target
Life Time Work Bridgewater,"100 Somerset Corporate Boulevard 2nd Floor, Bridgewater, NJ 08807",,908-800-5198,https://work.lifetime.life/locations/nj-bridgewater.html,Preferred Target
Life Time Work Middletown - Red Bank,"331 Newman Springs Road, Floor 2, One River Center Building 3, Red Bank, NJ 07701",,732-889-8305,https://work.lifetime.life/locations/nj-middletown-red-bank.html,Preferred Target
Middletown - Red Bank,"230 Half Mile Rd., Middletown, New Jersey 07701",,732-889-8300,https://www.lifetime.life/locations/nj/middletown.html,Preferred Target
Mount Laurel,"3939 Church Rd, Mount Laurel, New Jersey 08054",,856-813-3100,https://www.lifetime.life/locations/nj/mount-laurel.html,Preferred Target
Princeton,"7 Forrestal Rd S, Princeton, New Jersey 08540",,609-608-7100,https://www.lifetime.life/locations/nj/princeton.html,Preferred Target
23rd Street,"60 W 23rd Street, New York, New York 10010",,212-381-8900,https://www.lifetime.life/locations/ny/23rd-street.html,Preferred Target
Atlantic Avenue,"18 Sixth Avenue, Brooklyn, New York 11217",,929-489-3200,https://www.lifetime.life/locations/ny/atlantic-avenue.html,Preferred Target
Battery Park,"1 West Street, New York, New York 10004",,212-419-7300,https://www.lifetime.life/locations/ny/battery-park.html,Preferred Target
Brooklyn Tower,"9 Dekalb Ave, Brooklyn, NY 11201",,,https://work.lifetime.life/locations/ny-brooklyn-tower,Preferred Target
Chappaqua,"1 The Crossing, Chappaqua, New York 10514",,914-296-6000,https://www.lifetime.life/locations/ny/chappaqua.html,Preferred Target
Dumbo,"168 Front Street, Brooklyn, New York 11201",,718-233-8100,https://www.lifetime.life/locations/ny/dumbo.html,Preferred Target
Garden City,"750 Zeckendorf Blvd, Garden City, New York 11530",,516-580-7100,https://www.lifetime.life/locations/ny/garden-city.html,Preferred Target
Life Time Work Brooklyn Tower,"9 Dekalb Ave, Brooklyn, NY 11201",,,https://work.lifetime.life/locations/ny-brooklyn-tower,Preferred Target
Midtown,"110 W 56th Street, New York, New York 10019",,212-547-4800,https://www.lifetime.life/locations/ny/midtown.html,Preferred Target
NoHo,"62 Cooper Sq, New York, New York 10003",,917-438-0300,https://www.lifetime.life/locations/ny/noho.html,Preferred Target
One Wall Street,"29 New Street, New York, New York 10005",,212-671-7100,https://www.lifetime.life/locations/ny/one-wall-street.html,Preferred Target
PENN 1,"235 West 33rd St, New York, New York 10119",,332-263-0900,https://www.lifetime.life/locations/ny/penn-1.html,Preferred Target
Sky (Manhattan),"605 West 42nd Street, New York, New York 10036",,212-564-1300,https://www.lifetime.life/locations/ny/sky-manhattan.html,Preferred Target
Syosset,"350 Robbins Ln, Syosset, New York 11791",,516-822-1777,https://www.lifetime.life/locations/ny/syosset.html,Preferred Target
Westchester,"1 Westchester Park Dr, West Harrison, New York 10604",,914-290-5100,https://www.lifetime.life/locations/ny/westchester.html,Preferred Target
Alston Town Center,"1120 Healthy Way, Cary, NC 27519",,,https://www.lifetime.life/locations/nc/alston-town-center.html,Preferred Target
Apex,"1040 Vision Dr, Apex, North Carolina 27523",,919-387-3095,https://www.lifetime.life/locations/nc/apex.html,Preferred Target
Cary,"1700 Regency Pkwy, Cary, North Carolina 27518",,919-467-7779,https://www.lifetime.life/locations/nc/cary.html,Preferred Target
Charlotte,"11220 Golf Links Dr, Charlotte, North Carolina 28277",,704-901-7100,https://www.lifetime.life/locations/nc/charlotte.html,Preferred Target
Raleigh,"8515 Falls of Neuse Rd, Raleigh, North Carolina 27615",,919-582-7000,https://www.lifetime.life/locations/nc/raleigh.html,Preferred Target
Beachwood,"3850 Richmond Rd, Beachwood, Ohio 44122",,216-292-6844,https://www.lifetime.life/locations/oh/beachwood.html,Preferred Target
Deerfield Township,"8310 Wilkens Blvd, Mason, Ohio 45040",,513-234-0660,https://www.lifetime.life/locations/oh/deerfield-township.html,Preferred Target
Dublin,"3825 Hard Rd, Dublin, Ohio 43016",,614-764-1144,https://www.lifetime.life/locations/oh/dublin.html,Preferred Target
Easton,"3900 Easton Station, Columbus, Ohio 43219",,614-428-6000,https://www.lifetime.life/locations/oh/easton.html,Preferred Target
Pickerington,"1520 Stonecreek Dr S, Pickerington, Ohio 43147",,614-759-8593,https://www.lifetime.life/locations/oh/pickerington.html,Preferred Target
Upper Arlington,"1860 Henderson Rd, Columbus, Ohio 43220",,614-326-1500,https://www.lifetime.life/locations/oh/upper-arlington.html,Preferred Target
Oklahoma City,"2563 West Memorial Road, Oklahoma City, Oklahoma 73134",,405-832-5200,https://www.lifetime.life/locations/ok/oklahoma-city.html,Preferred Target
South Tulsa,"10642 S Memorial Dr, Tulsa, Oklahoma 74133",,918-364-8500,https://www.lifetime.life/locations/ok/south-tulsa.html,Preferred Target
Beaverton,"600 SW 116th Ave, Beaverton, Oregon 97225",,503-616-9950,https://www.lifetime.life/locations/or/beaverton.html,Preferred Target
Life Time Work Beaverton,"500 SW 116th Ave, Beaverton, OR 97225",,503-616-9952,https://work.lifetime.life/locations/or-beaverton.html,Preferred Target
Ardmore,"40 E Montgomery Ave, Ardmore, Pennsylvania 19003",,855-430-5433,https://www.lifetime.life/locations/pa/ardmore.html,Preferred Target
Fort Washington,"375 Commerce Dr, Fort Washington, Pennsylvania 19034",,267-462-7700,https://www.lifetime.life/locations/pa/fort-washington.html,Preferred Target
King of Prussia,"700 E Swedesford Rd, Wayne, Pennsylvania 19087",,484-254-7000,https://www.lifetime.life/locations/pa/king-of-prussia.html,Preferred Target
Life Time Work Ardmore,"40 E Montgomery Ave, Ardmore, PA 19003",,484-393-7108,https://work.lifetime.life/locations/pa-ardmore.html,Preferred Target
Collierville,"3470 S Houston Levee Rd, Collierville, Tennessee 38139",,901-853-9393,https://www.lifetime.life/locations/tn/collierville.html,Preferred Target
Franklin,"5020 Carothers Pkwy, Franklin, Tennessee 37067",,615-685-7000,https://www.lifetime.life/locations/tn/franklin.html,Preferred Target
Allen,"971 TX-121, Allen, Texas 75013",,214-383-3500,https://www.lifetime.life/locations/tx/allen.html,Preferred Target
Austin - Arboretum,"4210 W Braker Ln, Austin, Texas 78759",,737-218-7300,https://www.lifetime.life/locations/tx/austin-arboretum.html,Preferred Target
Austin - Downtown,"907 W 5th St, Austin, Texas 78703",,737-218-7200,https://www.lifetime.life/locations/tx/austin-downtown.html,Preferred Target
Austin - North,"13725 Ranch Rd 620 N, Austin, Texas 78717",,512-219-0909,https://www.lifetime.life/locations/tx/austin-north.html,Preferred Target
Austin - South,"7101 S Mopac Expy, Austin, Texas 78749",,512-358-8171,https://www.lifetime.life/locations/tx/austin-south.html,Preferred Target
Baybrook,"19250 Gulfbrook Dr, Friendswood, Texas 77546",,346-600-7800,https://www.lifetime.life/locations/tx/baybrook.html,Preferred Target
Champions,"7717 Willow Chase Blvd, Houston, Texas 77070",,281-469-9300,https://www.lifetime.life/locations/tx/champions.html,Preferred Target
Cinco Ranch,"23211 Cinco Ranch Blvd, Katy, Texas 77494",,281-644-5300,https://www.lifetime.life/locations/tx/cinco-ranch.html,Preferred Target
City Centre Houston,"815 Town & Country Blvd, Houston, Texas 77024",,713-464-1200,https://www.lifetime.life/locations/tx/city-centre-houston.html,Preferred Target
Colleyville,"1221 Church St, Colleyville, Texas 76034",,817-581-4000,https://www.lifetime.life/locations/tx/colleyville.html,Preferred Target
Cypress,"9922 Fry Rd, Cypress, Texas 77433",,832-745-4100,https://www.lifetime.life/locations/tx/cypress.html,Preferred Target
Dallas - Addison,"3419 Trinity Mills Rd, Dallas, Texas 75287",,972-307-2200,https://www.lifetime.life/locations/tx/dallas-addison.html,Preferred Target
Dallas - Highland Park,"5910 N Central Expy, Dallas, Texas 75206",,214-624-5800,https://www.lifetime.life/locations/tx/dallas-highland-park.html,Preferred Target
Flower Mound,"3100 Churchill Dr, Flower Mound, Texas 75022",,972-355-5000,https://www.lifetime.life/locations/tx/flower-mound.html,Preferred Target
Fort Worth-Alliance,"10761 Founders Way, Fort Worth, Texas 76177",,469-540-7100,https://www.lifetime.life/locations/tx/fort-worth-alliance.html,Preferred Target
